time,error,linear_velocity,angular_velocity
7.450556993,0.0,0.0,0.0
7.500572588000001,0.0,0.0,0.0
7.551319219000001,0.0,0.0,0.0
7.600565341,0.0,0.0,0.0
7.651207233,0.0,0.0,0.0
7.7005739790000005,0.0,0.0,0.0
7.751964616,0.0,0.0,0.0
7.800585065000001,0.0,0.0,0.0
7.850583264000001,0.0,0.0,0.0
7.900588024,0.0,0.0,0.0
7.951433766,0.0,0.0,0.0
8.000588741,0.0,0.0,0.0
8.052122446,0.0,0.0,0.0
8.100590968,0.0,0.0,0.0
8.150460572,0.0,0.0,0.0
8.200582414000001,0.0,0.0,0.0
8.251294668,0.0,0.0,0.0
8.300575162000001,0.0,0.0,0.0
8.352320585000001,0.0,0.0,0.0
8.400631087,0.0,0.0,0.0
8.451557662,0.0,0.0,0.0
8.500592325000001,0.0,0.0,0.0
8.552124729,0.0,0.0,0.0
8.600593980000001,0.0,0.0,0.0
8.651765032,0.0,0.0,0.0
8.700565426,0.0,0.0,0.0
8.75062055,0.0,0.0,0.0
8.800577185,0.0,0.0,0.0
8.850453715,0.0,0.0,0.0
8.900541753,0.0,0.0,0.0
8.950518802000001,0.0,0.0,0.0
9.000862098,0.0,0.0,0.0
9.050558160000001,0.0,0.0,0.0
9.100591198,0.0,0.0,0.0
9.151751206,0.0,0.0,0.0
9.200590087,0.0,0.0,0.0
9.251308172,0.0,0.0,0.0
9.300567831,0.0,0.0,0.0
9.350325559,0.0,0.0,0.0
9.400575783,0.0,0.0,0.0
9.450495957000001,0.0,0.0,0.0
9.500578110000001,0.0,0.0,0.0
9.550452555000001,0.0,0.0,0.0
9.600592520000001,0.0,0.0,0.0
9.651694820000001,0.0,0.0,0.0
9.700585888,0.0,0.0,0.0
9.750981319000001,0.0,0.0,0.0
9.800610975000001,0.0,0.0,0.0
9.851140519000001,0.0,0.0,0.0
9.900568925,0.0,0.0,0.0
9.951596952000001,0.0,0.0,0.0
10.000578070000001,0.0,0.0,0.0
10.05194198,0.0,0.0,0.0
10.100591277000001,0.0,0.0,0.0
10.150555251,0.0,0.0,0.0
10.200636776000001,0.0,0.0,0.0
10.252302872000001,0.0,0.0,0.0
10.300681963,0.0,0.0,0.0
10.351312754,0.0,0.0,0.0
10.400607358,0.0,0.0,0.0
10.450624874,0.0,0.0,0.0
10.500678899,0.0,0.0,0.0
10.550758549000001,0.0,0.0,0.0
10.600557160000001,0.0,0.0,0.0
10.650489884,0.0,0.0,0.0
10.700583857,0.0,0.0,0.0
10.750451581,0.0,0.0,0.0
10.800642116,0.0,0.0,0.0
10.851860194,0.0,0.0,0.0
10.900680060000001,0.0,0.0,0.0
10.952089541000001,0.0,0.0,0.0
11.000789773000001,0.0,0.0,0.0
11.052013161000001,0.0,0.0,0.0
11.100582144,0.0,0.0,0.0
11.151692565000001,0.0,0.0,0.0
11.200603628000001,0.0,0.0,0.0
11.2510252,0.0,0.0,0.0
11.300582925,0.0,0.0,0.0
11.351270954,0.0,0.0,0.0
11.400585764,0.0,0.0,0.0
11.451664831,0.0,0.0,0.0
11.500591988,0.0,0.0,0.0
11.550468408,0.0,0.0,0.0
11.600565399,0.0,0.0,0.0
11.650457444,0.0,0.0,0.0
11.700564488000001,0.0,0.0,0.0
11.750452106000001,0.0,0.0,0.0
11.800578941000001,0.0,0.0,0.0
11.851457331,0.0,0.0,0.0
11.900583860000001,0.0,0.0,0.0
11.951135064,0.0,0.0,0.0
12.000674558,0.0,0.0,0.0
12.050717693000001,0.0,0.0,0.0
12.100688485000001,0.0,0.0,0.0
12.150578132000001,0.0,0.0,0.0
12.200780694,0.0,0.0,0.0
12.250442061000001,0.0,0.0,0.0
12.300553165,0.0,0.0,0.0
12.350762393,0.0,0.0,0.0
12.400583395,0.0,0.0,0.0
12.451466888,0.0,0.0,0.0
12.500587218000001,0.0,0.0,0.0
12.551718574,0.0,0.0,0.0
12.600582396,0.0,0.0,0.0
12.650455950000001,0.0,0.0,0.0
12.700588563,0.0,0.0,0.0
12.751054664000002,0.0,0.0,0.0
12.800537700000001,0.0,0.0,0.0
12.850442867,0.0,0.0,0.0
12.900550271,0.0,0.0,0.0
12.95139522,0.0,0.0,0.0
13.000579975,0.0,0.0,0.0
13.050907741000001,0.0,0.0,0.0
13.100593013000001,0.0,0.0,0.0
13.151571659,0.0,0.0,0.0
13.200591832,0.0,0.0,0.0
13.251346469000001,0.0,0.0,0.0
13.300611640000001,0.0,0.0,0.0
13.350922531,0.0,0.0,0.0
13.400573064000001,0.0,0.0,0.0
13.451250827,0.0,0.0,0.0
13.500600997000001,0.0,0.0,0.0
13.550901576000001,0.0,0.0,0.0
13.600589764,0.0,0.0,0.0
13.652296217000002,0.0,0.0,0.0
13.700647385000002,0.0,0.0,0.0
13.750350052000002,0.0,0.0,0.0
13.800588392000002,0.0,0.0,0.0
13.850381474,0.0,0.0,0.0
13.900563302,0.0,0.0,0.0
13.950823306,0.0,0.0,0.0
14.001738878000001,0.0,0.0,0.0
14.051282221000001,0.0,0.0,0.0
14.100541348,0.0,0.0,0.0
14.150744843,0.0,0.0,0.0
14.200585527000001,0.0,0.0,0.0
14.251432714000002,0.0,0.0,0.0
14.300589082,0.0,0.0,0.0
14.352198710000001,0.0,0.0,0.0
14.400707739000001,0.0,0.0,0.0
14.45132873,0.0,0.0,0.0
14.500586607,0.0,0.0,0.0
14.550665675000001,0.0,0.0,0.0
14.600639744,0.0,0.0,0.0
14.650453919,0.0,0.0,0.0
14.700598767,0.0,0.0,0.0
14.751349445,0.0,0.0,0.0
14.800584197000001,0.0,0.0,0.0
14.852014764000002,0.0,0.0,0.0
14.900644571,0.0,0.0,0.0
14.951552744,0.0,0.0,0.0
15.000643537,0.0,0.0,0.0
15.05190926,0.0,0.0,0.0
15.100638597000001,0.0,0.0,0.0
15.151145785,0.0,0.0,0.0
15.200593085000001,0.0,0.0,0.0
15.250818608000001,0.0,0.0,0.0
15.300588666000001,0.0,0.0,0.0
15.350469713,0.0,0.0,0.0
15.400583362,0.0,0.0,0.0
15.451877887,0.0,0.0,0.0
15.500604099,0.0,0.0,0.0
15.551105922000001,0.0,0.0,0.0
15.600621711,0.0,0.0,0.0
15.651696498000002,0.0,0.0,0.0
15.700578543,0.0,0.0,0.0
15.751348228000001,0.0,0.0,0.0
15.800590947000002,0.0,0.0,0.0
15.851709483,0.0,0.0,0.0
15.900590275,0.0,0.0,0.0
15.950760692000001,0.0,0.0,0.0
16.000590331,0.0,0.0,0.0
16.052173497000002,0.0,0.0,0.0
16.100586168,0.0,0.0,0.0
16.152061522,0.0,0.0,0.0
16.200716744,0.0,0.0,0.0
16.251742154000002,0.0,0.0,0.0
16.300585082,0.0,0.0,0.0
16.351059611,0.0,0.0,0.0
16.400577325,0.0,0.0,0.0
16.451180604,0.0,0.0,0.0
16.500609152000003,0.0,0.0,0.0
16.55091837,0.0,0.0,0.0
16.600599260000003,0.0,0.0,0.0
16.650529783,0.0,0.0,0.0
16.700602701,0.0,0.0,0.0
16.750799004,0.0,0.0,0.0
16.800577341,0.0,0.0,0.0
16.850840934,0.0,0.0,0.0
16.900594217000002,0.0,0.0,0.0
16.950721559,0.0,0.0,0.0
17.000586143,0.0,0.0,0.0
17.050913692,0.0,0.0,0.0
17.100595726,0.0,0.0,0.0
17.150449841,0.0,0.0,0.0
17.200599059,0.0,0.0,0.0
17.251809413,0.0,0.0,0.0
17.300661558,0.0,0.0,0.0
17.350930045000002,0.0,0.0,0.0
17.400574006,0.0,0.0,0.0
17.451107387,0.0,0.0,0.0
17.500574682,0.0,0.0,0.0
17.551139209000002,0.0,0.0,0.0
17.600596452,0.0,0.0,0.0
17.650492338,0.0,0.0,0.0
17.700601921,0.0,0.0,0.0
17.750439682,0.0,0.0,0.0
17.800598483,0.0,0.0,0.0
17.851321965,0.0,0.0,0.0
17.900577125,0.0,0.0,0.0
17.951502636,0.0,0.0,0.0
18.000576808,0.0,0.0,0.0
18.051822628,0.0,0.0,0.0
18.100588365,0.0,0.0,0.0
18.1518808,0.0,0.0,0.0
18.200597579,0.0,0.0,0.0
18.25103049,0.0,0.0,0.0
18.300646428,0.0,0.0,0.0
18.350499031000002,0.0,0.0,0.0
18.400614861,0.0,0.0,0.0
18.451353498,0.0,0.0,0.0
18.500647668000003,0.0,0.0,0.0
18.550443657000002,0.0,0.0,0.0
18.600582768000002,0.0,0.0,0.0
18.65086167,0.0,0.0,0.0
18.700537295,0.0,0.0,0.0
18.751648898000003,0.0,0.0,0.0
18.800579894000002,0.0,0.0,0.0
18.85226446,0.0,0.0,0.0
18.900634,0.0,0.0,0.0
18.951113627,0.0,0.0,0.0
19.000629252,0.0,0.0,0.0
19.050792214,0.0,0.0,0.0
19.100588878,0.0,0.0,0.0
19.151098140000002,0.0,0.0,0.0
19.200570171000003,0.0,0.0,0.0
19.250438293000002,0.0,0.0,0.0
19.30059688,0.0,0.0,0.0
19.350780103,0.0,0.0,0.0
19.400590569000002,0.0,0.0,0.0
19.451532015,0.0,0.0,0.0
19.500590195,0.0,0.0,0.0
19.551501381,0.0,0.0,0.0
19.600656331,0.0,0.0,0.0
19.651073302,0.0,0.0,0.0
19.700636218,0.0,0.0,0.0
19.750954388,0.0,0.0,0.0
19.800577303,0.0,0.0,0.0
19.850480997000002,0.0,0.0,0.0
